source_id,x_ref,y_ref,filename,flux,flux_err,mag,mag_err,snr,sky_bkg,temporal_snr
69,776.776133,327.813485,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,11064.516170,108.356163,-10.109831,0.010632,102.112476,8.614000,29.259557
74,490.871494,349.623684,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,9121.563662,99.584697,-9.900173,0.011853,91.596038,10.129234,27.491106
76,620.951135,366.873331,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,7082.699145,87.628567,-9.625497,0.013432,80.826372,7.589356,25.049351
77,714.500371,367.262238,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,250431.233171,504.242872,-13.496721,0.002186,496.648038,48.760501,35.858587
80,586.172221,384.419070,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,6647.060697,85.412105,-9.556574,0.013951,77.823404,8.252718,21.288307
90,728.666796,429.458096,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,2232.967143,52.880838,-8.372206,0.025711,42.226394,7.173635,10.620118
91,512.694747,435.306667,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,177733.461054,424.932925,-13.124423,0.002596,418.262391,36.090350,34.902970
93,678.107698,437.830830,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,12608.551896,115.516663,-10.251663,0.009947,109.149204,9.365283,32.134652
94,994.323599,440.576177,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,120007.265597,349.460035,-12.698019,0.003162,343.407697,26.929655,32.964149
96,587.876644,442.248962,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,3397.176782,60.075337,-8.827795,0.019199,56.548610,2.697604,13.806497
97,844.084918,443.403811,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,35986.865808,192.865277,-11.390360,0.005819,186.590693,15.408101,35.039058
98,469.303013,443.346165,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,3106.577366,60.941791,-8.730705,0.021298,50.976142,7.732696,12.154679
99,689.246302,446.742537,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,34795.508183,189.939082,-11.353808,0.005927,183.192989,16.314615,35.945976
100,701.171630,458.045416,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,4692.494592,74.048925,-9.178509,0.017133,63.370192,10.068126,16.510437
103,502.408226,462.164632,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,50922.174896,229.050498,-11.767267,0.004884,222.318551,19.632792,35.334207
104,624.225783,467.795881,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,5828.973900,80.242520,-9.413980,0.014946,72.641960,7.765336,22.144198
105,842.598499,467.433752,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,65753.198435,259.438108,-12.044792,0.004284,253.444642,19.798027,33.198749
106,959.025472,467.798575,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,34413.551582,187.518305,-11.341824,0.005916,183.521025,9.543733,35.941031
109,728.594648,506.717854,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,12651.711303,116.623392,-10.255373,0.010008,108.483479,12.086918,29.999679
110,982.451245,507.872269,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,12242.263374,115.509103,-10.219654,0.010244,105.985269,14.006775,29.503975
111,998.865836,508.470747,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,24101.408071,158.353749,-10.955106,0.007133,152.199794,12.407743,30.640847
113,800.264734,517.259629,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,10222.029897,103.877648,-10.023843,0.011033,98.404518,7.238824,27.120522
114,695.147451,533.609906,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,21849.828379,150.715097,-10.848620,0.007489,144.974384,11.016223,34.767266
115,735.996240,536.440894,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,397591.347542,634.752877,-13.998592,0.001733,626.371871,67.734659,37.211708
116,556.986903,545.326144,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,8394.269560,93.388674,-9.809957,0.012079,89.885306,4.165721,26.527574
118,490.717961,554.914957,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,2836.998819,57.170726,-8.632148,0.021879,49.623278,5.493940,10.720318
120,591.132364,565.463092,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,1848.114570,51.884065,-8.166822,0.030480,35.620080,10.744126,9.483848
121,598.795626,566.307381,018993_00001_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,4252.577734,69.334853,-9.071631,0.017701,61.333911,7.063221,15.572088
